* Generated by rew_pipeline.py (source UUID 7acd2911-a65a-4614-adf2-ea034c40169e, calibrated to its own SPL at 100 Hz)
* Measurement: LR.clean-fdw8
* Dated: 2026-Sep-12 16:10:03
* Note: ; Vector average of L.nofdw.clean-fdw8, R.nofdw.clean-fdw8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
276.123047 71.831 -145.5322
276.489258 71.902 80.0122
276.855469 71.850 -54.8418
277.221680 71.826 171.3268
277.587891 71.877 37.1807
277.954102 71.813 -96.5015
278.320312 71.862 130.5810
278.686523 71.899 -3.5253
279.052734 71.710 -137.2168
279.418945 71.645 89.8468
279.785156 71.588 -44.4647
280.151367 71.338 -178.0335
280.517578 71.295 49.7177
280.883789 71.334 -83.5477
281.250000 71.197 143.8568
281.616211 71.175 12.2117
281.982422 71.155 -120.3772
282.348633 71.011 107.5224
282.714844 71.042 -23.9820
283.081055 71.186 -156.3425
283.447266 71.310 71.1834
283.813477 71.479 -61.3069
284.179688 71.625 165.8129
284.545898 71.728 32.9352
284.912109 71.831 -99.9629
285.278320 71.922 127.0648
285.644531 71.999 -5.9538
286.010742 72.072 -139.0079
286.376953 72.195 87.7352
286.743164 72.346 -46.1238
287.109375 72.464 179.9610
287.475586 72.631 46.2857
287.841797 72.814 -88.0355
288.208008 72.870 137.1326
288.574219 72.861 2.3861
288.940430 72.855 -132.6458
289.306641 72.781 92.1530
289.672852 72.634 -42.6676
290.039062 72.426 -177.3229
290.405273 72.108 48.0089
290.771484 71.711 -86.3746
291.137695 71.329 139.5259
291.503906 70.957 5.5469
291.870117 70.542 -127.9019
292.236328 70.130 99.2949
292.602539 69.715 -33.7338
292.968750 69.188 -166.9228
293.334961 68.632 60.5415
293.701172 68.116 -71.5296
294.067383 67.565 157.3053
294.433594 67.092 27.3643
294.799805 66.701 -102.7478
295.166016 66.260 127.1199
295.532227 65.935 -2.5708
295.898438 65.782 -132.7990
296.264648 65.694 96.5037
296.630859 65.633 -34.6000
296.997070 65.487 -165.9671
297.363281 65.269 63.1125
297.729492 65.053 -67.2821
298.095703 64.882 162.9219
298.461914 64.760 33.3231
298.828125 64.587 -95.5679
299.194336 64.599 136.8345
299.560547 64.873 8.2807
299.926758 65.155 -120.8779
300.292969 65.645 109.8936
300.659180 66.217 -21.3836
301.025391 66.611 -153.6497
301.391602 66.978 73.3683
301.757812 67.198 -60.8772
302.124023 67.290 165.4973
302.490234 67.471 31.9383
302.856445 67.445 -102.0936
303.222656 67.241 125.4402
303.588867 67.137 -7.2108
303.955078 66.826 -140.5353
304.321289 66.582 88.4058
304.687500 66.747 -42.9935
305.053711 66.708 -175.0437
305.419922 66.609 55.5220
305.786133 66.790 -74.5204
306.152344 66.836 153.5489
306.518555 66.895 21.5394
306.884766 67.063 -111.6512
307.250977 67.085 115.1375
307.617188 67.085 -16.9638
307.983398 67.035 -149.0667
308.349609 66.888 79.3159
308.715820 66.817 -52.2093
309.082031 66.725 176.1684
309.448242 66.692 45.5902
309.814453 66.794 -85.0918
310.180664 66.852 144.1717
310.546875 67.053 13.7654
310.913086 67.395 -117.9586
311.279297 67.674 109.6327
311.645508 67.981 -22.9142
312.011719 68.248 -156.4433
312.377930 68.344 69.4924
312.744141 68.287 -64.4546
313.110352 68.129 162.3447
313.476562 68.004 29.6965
313.842773 67.806 -103.4625
314.208984 67.387 124.2890
314.575195 67.056 -5.7722
314.941406 66.963 -134.7764
315.307617 67.075 97.3032
315.673828 67.473 -30.7036
316.040039 67.943 -159.9854
316.406250 68.495 69.9962
316.772461 69.207 -61.6256
317.138672 69.928 165.4751
317.504883 70.681 31.9879
317.871094 71.360 -102.8677
318.237305 71.777 121.4001
318.603516 72.029 -14.3154
318.969727 72.251 -150.0571
319.335938 72.477 74.3981
319.702148 72.720 -61.0582
320.068359 72.874 163.1729
320.434570 72.884 27.4221
320.800781 72.848 -108.2232
321.166992 72.805 116.0674
321.533203 72.745 -19.4784
321.899414 72.648 -154.8152
322.265625 72.493 69.9447
322.631836 72.301 -65.3182
322.998047 72.107 159.4622
323.364258 71.972 24.4876
323.730469 71.870 -110.7232
324.096680 71.631 113.8611
324.462891 71.284 -21.0590
324.829102 70.966 -156.1154
325.195312 70.609 68.3533
325.561523 70.207 -66.7656
325.927734 69.781 158.4351
