* Generated by rew_pipeline.py (source UUID a5e9af94-77a9-4614-b030-74790d74babe, calibrated to its own SPL at 100 Hz)
* Measurement: L.nofdw.clean-fdw8
* Dated: 2026-Sep-12 16:09:58
* Note: ; Copy of L.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from R and L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
227.783203 76.591 -69.0267
228.149414 76.561 157.6638
228.515625 76.487 23.5811
228.881836 76.484 -109.7603
229.248047 76.576 115.4100
229.614258 76.655 -18.1932
229.980469 76.382 -153.0087
230.346680 76.285 71.0471
230.712891 76.262 -64.3961
231.079102 75.658 162.0510
231.445312 75.138 27.0174
231.811523 74.771 -108.0863
232.177734 74.301 116.8436
232.543945 73.733 -16.1451
232.910156 72.837 -147.6828
233.276367 72.026 79.8915
233.642578 71.420 -52.2757
234.008789 70.673 -178.9598
234.375000 70.012 50.7425
234.741211 69.847 -77.8674
235.107422 69.661 152.2827
235.473633 69.927 26.3921
235.839844 69.377 -100.0998
236.206055 69.883 131.6532
236.572266 70.397 0.2622
236.938477 70.681 -127.6270
237.304688 71.125 99.9908
237.670898 71.520 -33.0190
238.037109 71.795 -165.6218
238.403320 71.794 59.8138
238.769531 71.954 -73.3038
239.135742 72.056 153.6308
239.501953 72.044 21.1949
239.868164 71.966 -112.8908
240.234375 71.915 117.9046
240.600586 71.719 -14.8341
240.966797 71.922 -148.8503
241.333008 71.932 82.5898
241.699219 72.381 -51.3157
242.065430 72.407 177.5341
242.431641 72.703 44.7179
242.797852 72.896 -87.8834
243.164062 72.955 138.1848
243.530273 73.349 5.1215
