* Generated by rew_pipeline.py (source UUID f0175bf7-856b-4f82-b8d3-e215cf908451, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:02
* Note: ; Vector average of L.filtered.clean-fdw8, R.filtered.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
127.075195 73.392 -16.3668
127.258301 73.405 -82.4849
127.441406 73.420 -148.7432
127.624512 73.412 144.8355
127.807617 73.359 78.4131
127.990723 73.289 12.1552
128.173828 73.232 -53.9740
128.356934 73.217 -120.1320
128.540039 73.228 173.4608
128.723145 73.238 106.8454
128.906250 73.222 40.1469
129.089355 73.186 -26.3842
129.272461 73.147 -92.7438
129.455566 73.116 -158.9986
129.638672 73.087 134.6315
129.821777 73.026 68.1188
130.004883 72.921 1.5080
130.187988 72.768 -65.0362
130.371094 72.598 -131.4624
130.554199 72.424 162.1789
130.737305 72.255 95.7991
130.920410 72.068 29.3872
131.103516 71.854 -36.8553
131.286621 71.618 -102.7284
131.469727 71.399 -168.0602
131.652832 71.229 126.9683
131.835938 71.120 62.1316
132.019043 71.042 -2.8461
132.202148 70.961 -67.8785
132.385254 70.875 -132.8733
132.568359 70.805 162.2955
132.751465 70.782 97.4272
132.934570 70.790 32.3443
133.117676 70.802 -33.0457
133.300781 70.784 -98.5287
133.483887 70.755 -163.8744
133.666992 70.745 130.9554
133.850098 70.786 65.7328
134.033203 70.842 0.1564
134.216309 70.871 -65.7597
134.399414 70.833 -131.7861
134.582520 70.748 162.4606
134.765625 70.662 97.0237
134.948730 70.612 31.7840
135.131836 70.591 -33.5630
135.314941 70.564 -98.9560
135.498047 70.526 -164.2416
135.681152 70.500 130.8092
135.864258 70.531 66.0214
136.047363 70.613 1.1207
136.230469 70.709 -64.1050
136.413574 70.763 -129.4778
136.596680 70.783 165.3051
136.779785 70.801 100.3932
136.962891 70.868 35.6272
137.145996 70.977 -29.3275
137.329102 71.103 -94.5714
137.512207 71.214 -160.0205
137.695312 71.325 134.5583
137.878418 71.461 69.1281
138.061523 71.634 3.6067
138.244629 71.825 -62.1671
138.427734 72.009 -128.0631
138.610840 72.185 166.0175
138.793945 72.364 100.1713
138.977051 72.561 34.2380
139.160156 72.752 -31.8868
139.343262 72.916 -98.2173
139.526367 73.037 -164.5872
139.709473 73.141 129.1152
139.892578 73.248 62.8158
140.075684 73.373 -3.6738
140.258789 73.486 -70.5036
140.441895 73.563 -137.5480
140.625000 73.596 155.3914
140.808105 73.615 88.5298
140.991211 73.650 21.7912
141.174316 73.712 -44.9480
141.357422 73.783 -111.8421
141.540527 73.838 -178.7900
141.723633 73.881 114.3132
141.906738 73.921 47.5479
142.089844 73.977 -19.2037
142.272949 74.030 -86.0554
142.456055 74.061 -153.0054
142.639160 74.051 140.0887
142.822266 74.021 73.3844
143.005371 73.996 6.8299
143.188477 73.995 -59.7446
143.371582 73.995 -126.5657
143.554688 73.969 166.4038
143.737793 73.896 99.2993
143.920898 73.790 32.3621
144.104004 73.678 -34.3903
144.287109 73.577 -101.0111
144.470215 73.486 -167.6516
144.653320 73.383 125.7000
144.836426 73.265 59.0952
145.019531 73.132 -7.4059
145.202637 72.998 -73.8524
145.385742 72.851 -140.3441
145.568848 72.683 153.1161
145.751953 72.475 86.5985
145.935059 72.241 20.2765
146.118164 71.998 -45.8329
146.301270 71.767 -111.7364
146.484375 71.546 -177.5723
146.667480 71.321 116.7226
146.850586 71.086 51.2134
147.033691 70.847 -13.9123
147.216797 70.632 -78.6804
147.399902 70.452 -143.1560
147.583008 70.310 152.4797
147.766113 70.184 88.2026
147.949219 70.076 24.0566
148.132324 69.990 -39.8626
148.315430 69.969 -103.5772
148.498535 70.031 -167.3056
148.681641 70.187 128.6665
148.864746 70.392 64.0875
149.047852 70.610 -0.9875
149.230957 70.804 -66.3849
149.414062 70.986 -131.8014
149.597168 71.179 162.7902
149.780273 71.405 97.3051
149.963379 71.649 31.4705
150.146484 71.869 -34.7223
150.329590 72.037 -101.1621
150.512695 72.148 -167.5660
150.695801 72.240 126.1326
150.878906 72.335 59.8310
151.062012 72.438 -6.7076
151.245117 72.508 -73.5445
151.428223 72.527 -140.4962
151.611328 72.494 152.7105
151.794434 72.452 86.2564
151.977539 72.430 20.0193
152.160645 72.435 -46.1747
152.343750 72.439 -112.4622
152.526855 72.421 -178.6827
152.709961 72.389 115.2763
152.893066 72.371 49.4612
153.076172 72.384 -16.3618
153.259277 72.406 -82.3128
153.442383 72.412 -148.3673
153.625488 72.394 145.7292
