* Generated by rew_pipeline.py (source UUID 633417b2-a8a9-4810-837e-e85a53922a2f, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw6
* Dated: 2026-Sep-12 16:19:02
* Note: ; Vector average of L.filtered.clean-fdw6, R.filtered.clean-fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
136.413574 70.697 -129.5078
136.596680 70.722 165.3192
136.779785 70.743 100.4508
136.962891 70.813 35.7353
137.145996 70.925 -29.1622
137.329102 71.056 -94.3501
137.512207 71.172 -159.7524
137.695312 71.289 134.8630
137.878418 71.429 69.4665
138.061523 71.605 3.9833
138.244629 71.801 -61.7468
138.427734 71.990 -127.5991
138.610840 72.172 166.5195
138.793945 72.357 100.7060
138.977051 72.559 34.8037
139.160156 72.755 -31.2882
139.343262 72.925 -97.5865
139.526367 73.051 -163.9281
139.709473 73.161 129.7973
139.892578 73.273 63.5196
140.075684 73.403 -2.9461
140.258789 73.520 -69.7488
140.441895 73.603 -136.7677
140.625000 73.641 156.1930
140.808105 73.665 89.3493
140.991211 73.704 22.6307
141.174316 73.769 -44.0829
141.357422 73.843 -110.9475
141.540527 73.903 -177.8672
141.723633 73.950 115.2596
141.906738 73.994 48.5157
142.089844 74.054 -18.2130
142.272949 74.110 -85.0378
142.456055 74.146 -151.9607
142.639160 74.142 141.1573
142.822266 74.119 74.4714
143.005371 74.101 7.9332
143.188477 74.105 -58.6244
143.371582 74.112 -125.4269
143.554688 74.092 167.5593
143.737793 74.026 100.4674
143.920898 73.926 33.5380
144.104004 73.820 -33.2082
144.287109 73.725 -99.8228
144.470215 73.639 -166.4580
144.653320 73.542 126.8957
144.836426 73.430 60.2888
145.019531 73.302 -6.2146
145.202637 73.172 -72.6613
145.385742 73.030 -139.1488
145.568848 72.866 154.3167
145.751953 72.663 87.8035
145.935059 72.433 21.4834
146.118164 72.194 -44.6222
146.301270 71.967 -110.5186
146.484375 71.749 -176.3422
146.667480 71.528 117.9673
146.850586 71.297 52.4746
147.033691 71.063 -12.6334
147.216797 70.853 -77.3821
147.399902 70.679 -141.8380
147.583008 70.543 153.8155
147.766113 70.424 89.5543
147.949219 70.323 25.4221
148.132324 70.245 -38.4836
148.315430 70.233 -102.1883
148.498535 70.304 -165.9110
148.681641 70.467 130.0597
148.864746 70.682 65.4770
149.047852 70.907 0.3953
149.230957 71.110 -65.0091
149.414062 71.300 -130.4366
149.597168 71.501 164.1423
149.780273 71.735 98.6417
149.963379 71.986 32.7928
150.146484 72.214 -33.4151
150.329590 72.388 -99.8703
150.512695 72.507 -166.2921
150.695801 72.606 127.3874
150.878906 72.708 61.0669
151.062012 72.818 -5.4900
151.245117 72.896 -72.3449
151.428223 72.922 -139.3169
151.611328 72.897 153.8680
151.794434 72.862 87.3895
151.977539 72.847 21.1285
152.160645 72.861 -45.0909
152.343750 72.872 -111.4042
152.526855 72.862 -177.6539
152.709961 72.838 116.2752
152.893066 72.828 50.4276
153.076172 72.850 -15.4294
153.259277 72.880 -81.4197
153.442383 72.894 -147.5176
153.625488 72.884 146.5317
153.808594 72.891 80.8385
153.991699 72.945 15.2560
154.174805 73.047 -50.5464
154.357910 73.143 -116.7390
154.541016 73.191 176.8630
154.724121 73.179 110.5883
154.907227 73.155 44.6933
155.090332 73.170 -20.9436
155.273438 73.246 -86.5797
155.456543 73.361 -152.4767
155.639648 73.484 141.4231
155.822754 73.602 75.2184
156.005859 73.717 9.0357
156.188965 73.833 -57.1732
156.372070 73.936 -123.3978
156.555176 74.020 170.3824
156.738281 74.088 104.2343
156.921387 74.165 38.0864
157.104492 74.253 -28.2368
157.287598 74.344 -94.8572
157.470703 74.410 -161.7221
157.653809 74.459 131.4103
157.836914 74.517 64.6848
158.020020 74.624 -1.9189
158.203125 74.781 -68.6631
158.386230 74.955 -135.6793
158.569336 75.099 157.0515
158.752441 75.189 89.7639
158.935547 75.238 22.5730
159.118652 75.265 -44.5326
159.301758 75.282 -111.7275
159.484863 75.272 -179.0954
159.667969 75.231 113.4124
159.851074 75.159 45.9266
160.034180 75.082 -21.4814
160.217285 75.006 -88.8795
160.400391 74.921 -156.2978
160.583496 74.800 136.3179
160.766602 74.639 69.2028
160.949707 74.461 2.4704
161.132812 74.304 -63.9294
161.315918 74.189 -130.3364
161.499023 74.091 163.0111
161.682129 73.975 96.0671
161.865234 73.818 29.0739
162.048340 73.642 -37.7512
162.231445 73.474 -104.3296
162.414551 73.335 -170.7621
162.597656 73.206 122.8522
162.780762 73.074 56.5571
162.963867 72.929 -9.5789
