* Measurement data measured by REW V5.40 beta 133
* Source: /home/giacomo/DRC/DRC-120.green/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 12, 2026, 10:33:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.green/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
133.300770 -0.010 64.5857
133.666981 -0.010 64.7742
134.033192 -0.010 64.9629
134.399403 -0.010 65.1516
134.765614 -0.010 65.3404
135.131825 -0.010 65.5293
135.498036 -0.010 65.7182
135.864247 -0.010 65.9072
136.230458 -0.010 66.0963
136.596669 -0.010 66.2855
136.962880 -0.010 66.4748
137.329090 -0.010 66.6641
137.695301 -0.010 66.8535
138.061512 -0.010 67.0430
138.427723 -0.010 67.2326
138.793934 -0.010 67.4223
139.160145 -0.010 67.6120
139.526356 -0.010 67.8018
139.892567 -0.010 67.9917
140.258778 -0.010 68.1817
140.624989 -0.010 68.3717
140.991199 -0.010 68.5618
141.357410 -0.010 68.7520
141.723621 -0.010 68.9423
142.089832 -0.010 69.1327
142.456043 -0.010 69.3231
142.822254 -0.010 69.5136
143.188465 -0.010 69.7042
143.554676 -0.010 69.8949
143.920887 -0.010 70.0856
144.287098 -0.010 70.2764
144.653309 -0.010 70.4673
145.019519 -0.010 70.6583
145.385730 -0.010 70.8494
145.751941 -0.010 71.0405
146.118152 -0.010 71.2317
146.484363 -0.010 71.4230
146.850574 -0.010 71.6143
147.216785 -0.010 71.8058
147.582996 -0.010 71.9973
147.949207 -0.010 72.1889
148.315418 -0.010 72.3806
148.681629 -0.010 72.5723
149.047839 -0.010 72.7642
149.414050 -0.010 72.9561
149.780261 -0.010 73.1481
150.146472 -0.010 73.3401
150.512683 -0.010 73.5323
150.878894 -0.010 73.7245
151.245105 -0.010 73.9168
151.611316 -0.010 74.1091
151.977527 -0.010 74.3016
152.343738 -0.010 74.4941
152.709949 -0.010 74.6867
153.076159 -0.010 74.8794
153.442370 -0.010 75.0722
153.808581 -0.010 75.2650
154.174792 -0.010 75.4579
154.541003 -0.010 75.6509
154.907214 -0.010 75.8439
155.273425 -0.010 76.0371
155.639636 -0.010 76.2303
156.005847 -0.010 76.4236
156.372058 -0.010 76.6169
156.738269 -0.010 76.8103
157.104479 -0.010 77.0039
157.470690 -0.010 77.1974
157.836901 -0.010 77.3911
158.203112 -0.010 77.5848
