* Generated by rew_pipeline.py (source UUID 3345a9fc-2b9f-4cd3-b89a-36b93d3c0b7d, calibrated to its own SPL at 100 Hz)
* Measurement: R.nofdw.clean-fdw6
* Dated: 2026-Sep-12 16:19:00
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
211.669922 75.872 36.8244
212.036133 75.924 -97.2518
212.402344 75.776 127.6228
212.768555 75.705 -6.5200
213.134766 75.112 -140.0579
213.500977 74.666 86.3461
213.867188 74.396 -46.1922
214.233398 73.679 -177.4909
214.599609 73.452 50.4913
214.965820 73.196 -79.2531
215.332031 72.840 152.6999
215.698242 72.377 23.8997
216.064453 72.229 -105.3095
216.430664 72.625 128.1275
216.796875 73.254 -1.0003
217.163086 73.950 -133.1383
217.529297 74.531 95.6525
217.895508 74.946 -37.4023
218.261719 75.369 -170.1869
218.627930 75.595 56.0794
218.994141 76.179 -80.1597
219.360352 76.622 147.5829
219.726562 76.721 13.0790
220.092773 76.865 -122.1495
220.458984 76.888 103.2487
220.825195 77.175 -32.1483
221.191406 77.126 -166.7117
221.557617 76.909 56.9647
221.923828 76.992 -78.0452
222.290039 76.792 149.1186
222.656250 76.309 14.3235
223.022461 76.020 -120.2588
223.388672 75.972 105.7302
223.754883 75.928 -24.1056
224.121094 75.360 -155.9783
224.487305 75.236 69.4348
224.853516 75.394 -62.2151
225.219727 75.279 167.5903
225.585938 75.219 33.9719
225.952148 75.373 -98.9447
226.318359 75.658 126.9764
226.684570 75.720 -5.7297
227.050781 75.778 -140.2550
227.416992 75.728 84.5222
227.783203 75.800 -50.0178
228.149414 75.574 176.1556
228.515625 75.472 40.1609
228.881836 75.144 -94.0465
229.248047 74.950 132.2287
229.614258 74.666 -1.5635
229.980469 74.272 -136.8484
230.346680 74.180 92.5570
230.712891 73.985 -40.0324
231.079102 73.478 -175.5602
231.445312 73.558 52.2277
231.811523 73.601 -80.3985
232.177734 73.472 145.5419
232.543945 73.255 10.0373
232.910156 73.187 -124.8437
233.276367 72.997 99.7750
233.642578 72.766 -37.1904
234.008789 72.625 -174.7824
234.375000 72.034 50.8098
234.741211 71.145 -87.1089
235.107422 70.666 134.4129
235.473633 69.849 -0.8081
235.839844 68.817 -137.4326
236.206055 67.369 81.5855
236.572266 65.551 -57.3276
236.938477 64.269 165.6534
237.304688 61.827 26.7123
237.670898 59.026 -119.8632
238.037109 56.194 95.4481
238.403320 49.705 -46.6096
238.769531 49.824 107.6771
239.135742 55.061 -58.4577
239.501953 57.325 148.5518
239.868164 60.413 2.5773
240.234375 61.742 -126.2522
240.600586 62.208 95.9551
240.966797 62.937 -40.9260
241.333008 64.405 -175.8979
241.699219 64.965 48.1848
242.065430 65.447 -83.9691
242.431641 66.239 143.1348
242.797852 66.572 6.5886
243.164062 66.702 -126.6268
243.530273 67.061 98.7490
243.896484 67.223 -35.4982
244.262695 67.951 -166.8302
244.628906 68.117 60.3444
244.995117 67.922 -72.3571
245.361328 67.929 153.1331
245.727539 68.419 22.0274
246.093750 68.695 -108.9637
246.459961 68.963 118.2179
246.826172 69.430 -14.5580
247.192383 69.326 -145.4069
247.558594 69.707 80.2070
247.924805 69.908 -51.5984
248.291016 70.383 175.2520
248.657227 70.152 43.7418
249.023438 70.429 -88.2023
249.389648 70.474 138.3307
249.755859 70.956 5.8347
250.122070 71.008 -125.6409
250.488281 71.105 99.4588
250.854492 71.224 -32.8342
251.220703 71.436 -164.0168
251.586914 71.455 62.6922
251.953125 71.801 -70.8099
252.319336 71.957 158.6558
252.685547 72.171 25.7053
253.051758 72.388 -108.7327
253.417969 72.592 119.4711
253.784180 72.727 -13.2594
254.150391 72.974 -146.8217
254.516602 73.138 81.0277
254.882812 73.542 -52.9555
255.249023 73.459 174.7627
255.615234 73.752 41.6233
255.981445 74.129 -91.6883
256.347656 74.107 134.3698
256.713867 74.325 0.1752
257.080078 74.232 -132.8256
257.446289 74.296 92.8769
257.812500 74.701 -42.5417
258.178711 74.778 -174.5900
258.544922 74.850 50.8881
258.911133 74.938 -82.4185
259.277344 74.945 142.7151
259.643555 74.945 8.3520
260.009766 75.084 -126.2161
260.375977 75.107 98.3270
260.742188 75.016 -37.5000
261.108398 74.856 -172.4662
261.474609 74.565 54.1796
261.840820 74.298 -81.7582
262.207031 74.044 145.4892
262.573242 73.879 9.9536
262.939453 73.263 -123.1785
263.305664 72.889 102.6146
263.671875 72.526 -31.7248
264.038086 72.325 -163.9466
264.404297 71.544 63.4820
264.770508 71.084 -72.4916
265.136719 70.377 155.5863
265.502930 69.553 24.9098
265.869141 68.809 -106.7274
266.235352 68.267 124.7127
266.601562 67.438 -1.1364
266.967773 67.144 -130.9886
267.333984 67.491 102.7207
267.700195 67.361 -23.1594
268.066406 66.964 -153.4435
268.432617 67.737 78.7758
268.798828 67.825 -49.4549
269.165039 67.918 179.5613
269.531250 68.840 47.9858
269.897461 69.110 -84.7625
270.263672 69.208 142.2074
270.629883 69.247 11.2015
270.996094 69.513 -120.5620
271.362305 69.605 108.1082
271.728516 69.400 -22.8688
272.094727 69.705 -154.3680
272.460938 69.689 73.7638
272.827148 69.955 -55.7963
273.193359 70.212 172.4840
273.559570 70.395 40.1536
273.925781 70.731 -89.2647
274.291992 71.107 135.5063
274.658203 71.615 4.5069
275.024414 71.514 -127.3687
275.390625 71.722 98.9349
275.756836 72.093 -34.3774
276.123047 72.097 -165.9718
276.489258 72.299 61.5118
276.855469 72.612 -72.6065
277.221680 72.605 155.1132
277.587891 72.814 20.3844
277.954102 73.151 -113.0721
278.320312 73.150 114.6850
278.686523 73.387 -18.2244
279.052734 73.240 -153.3457
279.418945 73.300 73.3746
279.785156 73.404 -61.7246
280.151367 73.098 163.4625
280.517578 73.227 29.5670
280.883789 73.075 -104.3269
281.250000 72.925 121.8859
281.616211 72.447 -9.7950
281.982422 72.170 -144.0843
282.348633 71.751 85.1809
282.714844 71.285 -46.2440
283.081055 71.210 -175.1433
283.447266 71.193 54.7398
