* Generated by rew_pipeline.py (source UUID defe8eaa-5d6a-4a29-861d-0afe6da83fd1, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw6-peq
* Dated: 2026-Sep-13 14:43:18
* Note: ; Vector average of L.filtered.clean-fdw6-peq, R.filtered.clean-fdw6-peq
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
144.836426 73.030 61.6769
145.019531 72.902 -4.8272
145.202637 72.772 -71.2735
145.385742 72.630 -137.7596
145.568848 72.466 155.7068
145.751953 72.263 89.1943
145.935059 72.033 22.8768
146.118164 71.794 -43.2247
146.301270 71.566 -109.1137
146.484375 71.349 -174.9302
146.667480 71.128 119.3880
146.850586 70.897 53.9021
147.033691 70.664 -11.1970
147.216797 70.456 -75.9387
147.399902 70.283 -140.3867
147.583008 70.149 155.2718
147.766113 70.032 91.0163
147.949219 69.932 26.8886
148.132324 69.856 -37.0123
148.315430 69.846 -100.7157
148.498535 69.919 -164.4404
148.681641 70.084 131.5256
148.864746 70.300 66.9377
149.047852 70.527 1.8523
149.230957 70.731 -63.5566
149.414062 70.922 -128.9889
149.597168 71.125 165.5827
149.780273 71.359 100.0770
149.963379 71.611 34.2240
150.146484 71.839 -31.9848
150.329590 72.014 -98.4432
150.512695 72.133 -164.8690
150.695801 72.232 128.8037
150.878906 72.334 62.4793
151.062012 72.443 -4.0785
151.245117 72.520 -70.9301
151.428223 72.548 -137.8982
151.611328 72.522 155.2898
151.794434 72.488 88.8138
151.977539 72.474 22.5557
152.160645 72.487 -43.6582
152.343750 72.499 -109.9653
152.526855 72.489 -176.2082
152.709961 72.465 117.7257
152.893066 72.455 51.8847
153.076172 72.476 -13.9649
153.259277 72.507 -79.9439
153.442383 72.522 -146.0318
153.625488 72.514 148.0267
153.808594 72.522 82.3400
153.991699 72.576 16.7657
154.174805 72.679 -49.0256
154.357910 72.775 -115.2028
154.541016 72.823 178.4160
154.724121 72.813 112.1571
154.907227 72.791 46.2761
155.090332 72.808 -19.3494
155.273438 72.886 -84.9743
155.456543 73.003 -150.8599
155.639648 73.128 143.0546
155.822754 73.249 76.8668
156.005859 73.366 10.7059
156.188965 73.485 -55.4805
156.372070 73.591 -121.6828
156.555176 73.679 172.1155
156.738281 73.751 105.9826
156.921387 73.833 39.8469
157.104492 73.926 -26.4641
157.287598 74.022 -93.0743
157.470703 74.095 -159.9326
157.653809 74.151 133.2012
157.836914 74.217 66.4732
158.020020 74.331 -0.1342
158.203125 74.496 -66.8853
158.386230 74.677 -133.9125
158.569336 74.827 158.7999
158.752441 74.923 91.4882
158.935547 74.978 24.2693
159.118652 75.009 -42.8632
159.301758 75.030 -110.0865
159.484863 75.025 -177.4867
159.667969 74.988 114.9836
159.851074 74.920 47.4585
160.034180 74.846 -19.9869
160.217285 74.772 -87.4174
160.400391 74.690 -154.8651
160.583496 74.572 137.7195
160.766602 74.412 70.5698
160.949707 74.235 3.8005
161.132812 74.079 -62.6331
161.315918 73.964 -129.0700
161.499023 73.866 164.2512
161.682129 73.751 97.2799
161.865234 73.595 30.2585
162.048340 73.420 -36.5967
162.231445 73.253 -103.2033
