* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:32:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.3 dB
* Note: ; Copy of RMS Average 1
* Measurement: LR.RMS
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB)
450.073242 70.042
450.439453 70.017
450.805664 69.995
451.171875 69.976
451.538086 69.955
451.904297 69.937
452.270508 69.919
452.636719 69.901
453.002930 69.887
453.369141 69.873
453.735352 69.861
454.101562 69.850
454.467773 69.838
454.833984 69.830
455.200195 69.823
455.566406 69.816
455.932617 69.812
456.298828 69.808
456.665039 69.804
457.031250 69.805
457.397461 69.805
457.763672 69.806
458.129883 69.810
458.496094 69.812
458.862305 69.818
459.228516 69.826
459.594727 69.833
459.960938 69.843
460.327148 69.852
460.693359 69.862
461.059570 69.876
461.425781 69.889
461.791992 69.904
462.158203 69.921
462.524414 69.936
462.890625 69.954
463.256836 69.974
463.623047 69.993
463.989258 70.014
464.355469 70.035
464.721680 70.057
465.087891 70.081
465.454102 70.105
465.820312 70.131
466.186523 70.157
466.552734 70.181
466.918945 70.209
467.285156 70.237
467.651367 70.266
468.017578 70.296
468.383789 70.324
468.750000 70.354
469.116211 70.387
469.482422 70.418
469.848633 70.450
470.214844 70.483
470.581055 70.514
470.947266 70.549
471.313477 70.583
471.679688 70.617
472.045898 70.653
472.412109 70.687
472.778320 70.722
473.144531 70.759
473.510742 70.795
473.876953 70.832
474.243164 70.869
474.609375 70.906
474.975586 70.944
475.341797 70.983
475.708008 71.021
476.074219 71.061
476.440430 71.098
476.806641 71.138
477.172852 71.178
477.539062 71.218
477.905273 71.259
478.271484 71.299
478.637695 71.339
479.003906 71.381
479.370117 71.422
479.736328 71.464
480.102539 71.506
480.468750 71.547
480.834961 71.590
481.201172 71.633
481.567383 71.675
481.933594 71.719
482.299805 71.762
482.666016 71.804
483.032227 71.849
483.398438 71.892
483.764648 71.936
484.130859 71.981
484.497070 72.023
484.863281 72.068
485.229492 72.113
485.595703 72.157
485.961914 72.203
486.328125 72.247
486.694336 72.291
487.060547 72.337
487.426758 72.381
487.792969 72.426
488.159180 72.472
488.525391 72.515
488.891602 72.561
489.257812 72.606
489.624023 72.651
489.990234 72.697
490.356445 72.741
490.722656 72.785
491.088867 72.830
491.455078 72.874
491.821289 72.918
492.187500 72.963
492.553711 73.006
492.919922 73.050
493.286133 73.094
493.652344 73.137
494.018555 73.181
494.384766 73.223
494.750977 73.265
495.117188 73.308
495.483398 73.349
495.849609 73.391
496.215820 73.433
496.582031 73.473
496.948242 73.514
497.314453 73.554
497.680664 73.594
498.046875 73.634
498.413086 73.672
498.779297 73.710
499.145508 73.748
499.511719 73.785
499.877930 73.823
500.244141 73.859
500.610352 73.895
500.976562 73.931
501.342773 73.965
501.708984 74.000
502.075195 74.034
502.441406 74.066
502.807617 74.098
503.173828 74.131
503.540039 74.162
503.906250 74.193
504.272461 74.223
504.638672 74.252
505.004883 74.281
505.371094 74.309
505.737305 74.337
506.103516 74.364
506.469727 74.389
506.835938 74.415
507.202148 74.440
507.568359 74.464
507.934570 74.489
508.300781 74.511
508.666992 74.533
509.033203 74.555
509.399414 74.575
509.765625 74.595
510.131836 74.615
510.498047 74.633
510.864258 74.651
511.230469 74.669
511.596680 74.685
511.962891 74.702
512.329102 74.717
512.695312 74.731
513.061523 74.745
513.427734 74.758
513.793945 74.771
514.160156 74.783
514.526367 74.793
514.892578 74.804
515.258789 74.814
515.625000 74.823
515.991211 74.832
516.357422 74.839
516.723633 74.846
517.089844 74.853
517.456055 74.859
517.822266 74.865
518.188477 74.869
518.554688 74.872
518.920898 74.876
519.287109 74.879
519.653320 74.881
520.019531 74.883
520.385742 74.884
520.751953 74.884
521.118164 74.885
521.484375 74.884
521.850586 74.883
522.216797 74.881
522.583008 74.878
522.949219 74.876
523.315430 74.872
523.681641 74.869
524.047852 74.865
524.414062 74.859
524.780273 74.854
525.146484 74.849
525.512695 74.842
525.878906 74.836
526.245117 74.828
526.611328 74.820
526.977539 74.813
527.343750 74.804
527.709961 74.795
528.076172 74.787
528.442383 74.776
528.808594 74.766
529.174805 74.756
529.541016 74.745
529.907227 74.734
530.273438 74.722
530.639648 74.710
531.005859 74.698
531.372070 74.685
